Name,Age,Gender,Breed,Description,Image_URL,Adoption_URL,sizes,urls
Rylee,60 Months,Male,Mixed Breed (Medium),"Rylee is our little hippo with the wonderfully wrinkly face and a heart that’s just as soft. He has become very silly and playful and absolutely loves spending time with his people friends. After an unstable start in life, this charming boy deserves the comfort of a home that will finally be his own. He would do best in a home without cats, where he can be the center of attention and enjoy all the love he has to give. If this animal is located at our Manhattan Adoption Center, head in to meet them and see if you are a match! We are a same-day adoption center, and an application does not put you on a list or hold an animal for you. If they are in Wantagh or in a foster home, please submit an online application and our team will reach out to further discuss the adoption process. Prior to adoption, all of our animals are spayed/neutered, microchipped, and given their age-appropriate vaccines.",https://new-s3.shelterluv.com/profile-pictures/0ff82f09a34f350c3984424995a7426a/52b443a615c0c9b250d30be301854363.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64918,Medium (25-59),https://www.bideawee.org/adopt-pet/rylee/212033915
Baby Yoda,8 Months,Female,Mixed Breed (Medium),"Baby Yoda is a smart, happy dog who’s always ready for fun. She’s playful, curious, and loves to be part of whatever’s going on. Along with all that energy, she has a sweet side too - she’s affectionate and enjoys spending time with the people she loves. Baby Yoda would do best in an active home with older kids, and she may make a great sibling for a well-matched pup.    If this animal is located at our Manhattan Adoption Center, head in to meet them and see if you are a match! We are a same-day adoption center, and an application does not put you on a list or hold an animal for you. If they are in Wantagh or in a foster home, please submit an online application and our team will reach out to further discuss the adoption process. Prior to adoption, all of our animals are spayed/neutered, microchipped, and given their age-appropriate vaccines.",https://new-s3.shelterluv.com/profile-pictures/0bc8692509a2b8ae730bc9c1c31f6793/03e7e450424dab4c3e0a71a3764782b9.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64946,Medium (25-59),https://www.bideawee.org/adopt-pet/baby yoda/212102087
Bowtie,73 Months,Male,Mixed Breed (Medium),"We shouldn't play favorites but with Bowtie we can't help ourselves. Often described as ""perfect"" by staff and volunteers, Bowtie has become quite popular around here! Bowtie is a very sweet, loving dog with a chill personality. He is house trained, may do well with cats, and will be a great sibling to a well-matched dog - but he'd also be happy to be your one and only! Meet Bowtie today, we know you'll love him just as much as we do!    If this animal is located at our Manhattan Adoption Center, head in to meet them and see if you are a match! We are a same-day adoption center, and an application does not put you on a list or hold an animal for you. If they are in Wantagh or in a foster home, please submit an online application and our team will reach out to further discuss the adoption process. Prior to adoption, all of our animals are spayed/neutered, microchipped, and given their age-appropriate vaccines.",https://new-s3.shelterluv.com/profile-pictures/ce16d8123ff556b4aeb8494cb5a2ee06/1e829f2fc5c3728f4fb8cd09f566d074.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64965,Medium (25-59),https://www.bideawee.org/adopt-pet/bowtie/212141828
Leo,7 Months,Male,Mixed Breed (Medium),"Everyone make way for Leo! He is one goofy, lovable boy, who is chock full of sweetness and character. Leo loves to run, with his nose down to the ground from the moment he steps outside. He is not stranger shy at all, as Leo will greet you with warm kisses in the hopes of cuddling on the couch with his favorite people. He also loves a good adventure, and so anyone who enjoys hiking and sniffing out new trails would be a great match for him.  If this pooch is located at our Westhampton Adoption Center, head in to meet them and see if you are a match! We are a same-day adoption center, and an application does not put you on a list or hold an animal for you. Prior to adoption, all of our animals are spayed/neutered, microchipped, and given their age-appropriate vaccines",https://new-s3.shelterluv.com/profile-pictures/1e7947b11e485eef9fb65c01596d58ab/e61517d4d421b6374b8b73a029f35deb.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64966,Medium (25-59),https://www.bideawee.org/adopt-pet/leo/212141838
Ed,7 Months,Male,"Retriever, Black Labrador/Unknown","Ed is a playful and lovable black-and-white bundle of joy with a heart as big as his floppy ears. Whether he’s zooming around the yard, curling up for a cozy nap, or giving those irresistible puppy-dog eyes, Ed brings smiles wherever he goes. Loyal, curious, and always up for a snuggle, Ed is the perfect mix of adventure and affection. Life’s just better in black and white when you have Ed around!  This cutie resides at our Wantagh location and meetings are by appointment only. If you are interested in meeting them, you must click ""Apply for Adoption"" to submit an online application. If you're viewing this animal on Petfinder, please visit the animal's page on Bideawee.org and click on the ""Apply for Adoption"" button to submit an adoption application. Once we receive your application, we will be in touch to schedule an appointment to meet them! Prior to adoption, all of our animals are spayed/neutered, microchipped and given their age-appropriate vaccines.",https://new-s3.shelterluv.com/profile-pictures/173cf1e0353982288f9376ddb0fb49b6/112b4d5ff7a628ca1174987ca8a552b0.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64987,Medium (25-59),https://www.bideawee.org/adopt-pet/ed/212260161
Sriracha,12 Months,Female,Mixed Breed (Medium),"Sriracha is a striking black dog whose icy blue eyes seem to tell a story before she ever makes a sound. Though her appearance is bold and unforgettable, her heart is gentle, patient, and full of quiet devotion. Sriracha has a natural instinct to stay close to the people she loves—never clingy, but always present, offering a comforting nudge or a soft gaze when he senses someone needs him.  This cutie resides at our Wantagh location and meetings are by appointment only. If you are interested in meeting them, you must click ""Apply for Adoption"" to submit an online application. If you're viewing this animal on Petfinder, please visit the animal's page on Bideawee.org and click on the ""Apply for Adoption"" button to submit an adoption application. Once we receive your application, we will be in touch to schedule an appointment to meet them! Prior to adoption, all of our animals are spayed/neutered, microchipped and given their age-appropriate vaccines.  This dog is currently being treated for an upper respiratory infection, which is a treatable condition but makes them contagious to other dogs. Out of an abundance of caution, until they finish their treatment this dog should only be adopted to a home without any other dogs.",https://new-s3.shelterluv.com/profile-pictures/55a31c17f489c9dc35099770b6d2b034/01a4edf772e0ebbd04606607321745d5.png,https://www.shelterluv.com/matchme/adopt/WEE-A-64990,Medium (25-59),https://www.bideawee.org/adopt-pet/sriracha/212265677
Triss,6 Months,Female,Mixed Breed (Medium),"Triss is a spirited black-and-white pup with a heart as big as her wagging tail. Known for her curious nose and playful bounce, she turns every walk into an adventure. Whether she's chasing leaves, snuggling on the couch, or showing off her clever tricks, Triss brings joy to everyone she meets. She’s equal parts mischief and magic — a loyal friend who brightens every day with her charming personality.  This cutie resides at our Wantagh location and meetings are by appointment only. If you are interested in meeting them, you must click ""Apply for Adoption"" to submit an online application. If you're viewing this animal on Petfinder, please visit the animal's page on Bideawee.org and click on the ""Apply for Adoption"" button to submit an adoption application. Once we receive your application, we will be in touch to schedule an appointment to meet them! Prior to adoption, all of our animals are spayed/neutered, microchipped and given their age-appropriate vaccines.",https://new-s3.shelterluv.com/profile-pictures/8c1f9d4141c10387e0b6bc5ec491451a/b7696a448db30ba77ce0b7b662d5feb1.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64994,Medium (25-59),https://www.bideawee.org/adopt-pet/triss/212265702
Spur,8 Months,Male,Mixed Breed (Medium),"Spur is a short (lowrider) compact burst of black-and-white energy with a heart as big as his personality. Don’t let his short legs fool you—this pup moves with the confidence of a seasoned explorer and the curiosity of someone who truly believes every leaf, stick, and passing breeze is meant just for him. A natural charmer, Spur wins over humans and dogs alike with his bright eyes, playful wiggles, and signature “I definitely didn’t do anything wrong” look. He’s equal parts cuddle buddy and adventure scout, happiest whether he’s trotting ahead on a trail or curled up like a tiny monochrome marshmallow beside his favorite people.  This cutie resides at our Wantagh location and meetings are by appointment only. If you are interested in meeting them, you must click ""Apply for Adoption"" to submit an online application. If you're viewing this animal on Petfinder, please visit the animal's page on Bideawee.org and click on the ""Apply for Adoption"" button to submit an adoption application. Once we receive your application, we will be in touch to schedule an appointment to meet them! Prior to adoption, all of our animals are spayed/neutered, microchipped and given their age-appropriate vaccines.",https://new-s3.shelterluv.com/profile-pictures/557694c2926bf9c4b4cd2aede0065673/40f9be66b8842686de03d29eb2f88291.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64995,Medium (25-59),https://www.bideawee.org/adopt-pet/spur/212265705
Melissa,5 Months,Female,Mixed Breed (Medium),"This cutie is located at our Westhampton Adoption Center, head in to meet them and see if you are a match! We are a same-day adoption center, and an application does not put you on a list or hold an animal for you. We are open Tuesday-Sunday 11am-4pm. Prior to adoption, all of our animals are spayed/neutered, microchipped, and given their age appropriate shots. Apply for Adoption",https://new-s3.shelterluv.com/profile-pictures/8ffb224af0eb282e3295ae8d3d59ea7d/a4cb79d0d6a1a54ce1426f38e6cb7e23.png,https://www.shelterluv.com/matchme/adopt/WEE-A-64996,Small (0-24),https://www.bideawee.org/adopt-pet/melissa/212265713
Maximus,6 Months,Male,Mixed Breed (Medium),"Maximus is a big, lovable pup with plenty of energy and a sweet, outgoing personality. He’s still getting settled, so we’re learning more about him each day, but so far he’s shown us that he’s friendly, upbeat, and ready for a home that can help him grow into the wonderful dog he’s meant to be. If this animal is located at our Manhattan Adoption Center, head in to meet them and see if you are a match! We are a same-day adoption center, and an application does not put you on a list or hold an animal for you. If they are in Wantagh or in a foster home, please submit an online application and our team will reach out to further discuss the adoption process. Prior to adoption, all of our animals are spayed/neutered, microchipped, and given their age-appropriate vaccines.",https://new-s3.shelterluv.com/profile-pictures/e7ac8ca2d75441ab3dac101fe1b7b671/cb5915219cdfe0f2716fa9f167f7fed5.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64997,Small (0-24),https://www.bideawee.org/adopt-pet/maximus/212265718
Henry,77 Months,Male,Mixed Breed (Small),"Let us introduce you to Henry our 16lb little fella! He’s cute, he’s confident, and he knows exactly what he wants in life: toys, playtime, and a person who gets him. Henry loves to zoom around and show off his best moves, but he’s not a fan of sharing the spotlight, so he’ll need to be the only dog in the home. He can be a little suspicious of strangers at first (as any self-respecting small dog would be), but once he decides you’re his person, you’ll have a loyal sidekick who makes every day more entertaining.  If this animal is located at our Manhattan Adoption Center, head in to meet them and see if you are a match! We are a same-day adoption center, and an application does not put you on a list or hold an animal for you. If they are in Wantagh or in a foster home, please submit an online application and our team will reach out to further discuss the adoption process. Prior to adoption, all of our animals are spayed/neutered, microchipped, and given their age-appropriate vaccines.",https://new-s3.shelterluv.com/profile-pictures/2d14d2fe6610a071396b33c0cf6ec29c/e160be44d46c68a67d311ed83b8dc931.JPG,https://www.shelterluv.com/matchme/adopt/WEE-A-64564,Small (0-24),https://www.bideawee.org/adopt-pet/henry/211286859
Tytus,61 Months,Male,Mixed Breed (Small),"This little guy may be small in size, but he’s packed with personality! Tytus is sweet, spunky, and playful, the kind of pup who loves to make his favorite people smile. Once he feels comfortable, his affectionate and goofy side shines through. Tytus can be a bit wary of strangers on walks, so he’ll appreciate a patient adopter who can help him feel safe and confident in new situations. He’d also do best with no felines in the home, as cats aren’t really his thing. If you’re looking for a pint-sized buddy with a big heart and a playful streak, Tytus is ready to meet you! If this animal is located at our Manhattan Adoption Center, head in to meet them and see if you are a match! We are a same-day adoption center, and an application does not put you on a list or hold an animal for you. If they are in Wantagh or in a foster home, please submit an online application and our team will reach out to further discuss the adoption process. Prior to adoption, all of our animals are spayed/neutered, microchipped, and given their age-appropriate vaccines.",https://new-s3.shelterluv.com/profile-pictures/57d7895de52310d1f9b420b31ea75d3f/39fd8de522e30a11e57fbaa5ab04fe77.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64928,Small (0-24),https://www.bideawee.org/adopt-pet/tytus/212074265
Hannah,13 Months,Female,Mixed Breed (Medium),"Hannah is a loving, loyal pup who’s perfected the art of being “just right” at 30 pounds -not too big, not too small, just exactly the size you want when you’re looking for a real companion. She adores people and turns into a full-body wiggle the moment she sees a friend coming… which, in her world, is basically everyone. Playful, affectionate, and social with well-matched dogs, Hannah would make a wonderful sibling for another friendly pup and an even better best friend for her humans. If this animal is located at our Manhattan Adoption Center, head in to meet them and see if you are a match! We are a same-day adoption center, and an application does not put you on a list or hold an animal for you. If they are in Wantagh or in a foster home, please submit an online application and our team will reach out to further discuss the adoption process. Prior to adoption, all of our animals are spayed/neutered, microchipped, and given their age-appropriate vaccines.",https://new-s3.shelterluv.com/profile-pictures/00879bb4176db32fa8547518dfc440e0/c3a10fbbc91d70ea2012bf5e2778c0c8.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64964,Medium (25-59),https://www.bideawee.org/adopt-pet/hannah/212141817
Molly,57 Months,Female,Mixed Breed (Medium),"Molly's wishes to find a family and home . Molly warms up quickly, and then becomes a loving, gentle friend to all of her people pals. As Molly is a bit bashful initially, she would be best in a home with older, gentle children over 12. She would also be best in the home where she can be your only four-legged family members  If you are interested in adopting or fostering, please contact us for further information on her and we can schedule an appointment for you to meet her.",https://new-s3.shelterluv.com/profile-pictures/592a7dd0e7a9232f34772228aaad0172/c3b9c4a9af545db53f44458e285b8b25.jpg,https://www.shelterluv.com/matchme/adopt/WEE-A-11832,Medium (20-59),https://www.bideawee.org/adopt-pet/molly/39525026
Boo Boo,63 Months,Male,Mixed Breed (Large),"Booboo is a lovable 5-year-old bundle of joy with a heart as big as his smile. He’s equal parts goofy and gentle, always ready for belly rubs, long naps, and being your shadow around the house. Whether he's chasing toys or snuggling on the couch, Booboo brings joy wherever he goes. Friendly with people and full of love, he's got a soft spot for treats and a nose for adventure — just don’t leave your snacks unattended! A generous donor is paying for his adoption fee!  This cutie resides at our Westhampton location If you are interested in meeting them, you click ""Apply for Adoption"" to submit an online application. If you're viewing this animal on Petfinder, please visit the animal's page on Bideawee.org and click on the ""Apply for Adoption"" button to submit an adoption application. Prior to adoption, all of our animals are spayed/neutered, microchipped and given their age-appropriate vaccines. Apply for Adoption",https://new-s3.shelterluv.com/profile-pictures/f6568573977f30043670020aee481b6d/400712c1ebf0edd8b5a285f0885c6185.png,https://www.shelterluv.com/matchme/adopt/WEE-A-64762,Medium (25-59),https://www.bideawee.org/adopt-pet/boo boo/211767598
Melo,53 Months,Male,Mixed Breed (Medium),"Who is that handsome boy in the all white suit you may ask? It's none other than Melo, charmer extraordinaire. Melo pulls out all the stops when it comes to wooing his people pals.  As if he couldn't be cuter, you can literally &quot;tickle him pink&quot; as Melo has a tendency to turn a rosy hue when excited and ready for snuggles. Melo is on the search for a very special forever family, that can provide him with the perfect home. He is looking for a home in a quiet suburban or rural area, where there is a fully fenced in yard, with no other animals. However, there is more than enough of Melo to go around, so he's the only four-legged family member you'll need! A family that has previous experience with his needs is also idyllic. Melo is also seeking adopters with older children, as he enthusiastically plays and snuggles, and throws around all of his 50 pounds with lots of love and gusto. This cutie resides at our Westhampton location! Prior to adoption, all of our animals are spayed/neutered, microchipped and given their age-appropriate vaccines. If you are interested in adopting or fostering, please contact us for further information on him and we can schedule an appointment for you to meet him.",https://new-s3.shelterluv.com/profile-pictures/6ad7985da05e25b0316b7cd19abccc00/20231128114207.png,https://www.shelterluv.com/matchme/adopt/WEE-A-12783,Medium (20-59),https://www.bideawee.org/adopt-pet/melo/44941253
Riley,94 Months,Female,Mixed Breed (Large)/Mix,"This beautiful and unique-looking lady is named Riley. Donning a caramel and chocolate brindle coat, and eyes like melted brownies, she can make you fall head over feet in love! Riley is seeking a loving and jubilant adult-only home, that has the gusto for a spirited lady, but will also give her the time that she deserves to become comfortable and settle in. New people make her nervous, so she'll need her future family to let her get cozy with them at her own pace. She'd also be best as the only four-legged family member in the home. Riley's adoption fee has been paid for by a generous donation from CCP Solutions! Riley is a member of our Oh Behave! Training Academy! Riley and her fellow pup students each have their own story as to why they've had a harder time finding a home, but we see so much potential in every one of these cuties and know that with a little guidance they can become the best friend you've always been looking for, which is why we are so excited to be able to provide this opportunity! As we want to set these pups up for success in their new homes, Bideawee will be sponsoring a free 4-week training package with our partner GoodPup, an incredible organization with a long-standing history of working with dogs and dog parents to produce happy and well-socialized four-legged family members! These pups are so deserving of loving homes, and we know this will help them start out on the right paw. This cutie resides at our Westhampton location! Prior to adoption, all of our animals are spayed/neutered, microchipped and given their age-appropriate vaccines. If you are interested in adopting or fostering, please contact us for further information on him and we can schedule an appointment for you to meet him.",https://new-s3.shelterluv.com/profile-pictures/e4cccda40a287fb296ae24232a586ddc/20240701195639.png,https://www.shelterluv.com/matchme/adopt/WEE-A-6733,Medium (20-59),https://www.bideawee.org/adopt-pet/riley/24376503
